"geography","type_desc","historic","actual"
"Australia","Peak (MW)","24859","24553"
"Australia","Base (MW)","16895","16945"
"Australia","Peak hour","18","18"
"Australia","Base hour","3","3"
"Austria","Peak (MW)","8469","7194"
"Austria","Base (MW)","5408","5157"
"Austria","Peak hour","11","11"
"Austria","Base hour","3","3"
"Belgium","Peak (MW)","11282","9256"
"Belgium","Base (MW)","8221","7116"
"Belgium","Peak hour","11","11"
"Belgium","Base hour","3","3"
"Brazil","Peak (MW)","75868","68473"
"Brazil","Base (MW)","54497","49939"
"Brazil","Peak hour","14","18"
"Brazil","Base hour","3","4"
"Bulgaria","Peak (MW)","4682","4597"
"Bulgaria","Base (MW)","3146","3162"
"Bulgaria","Peak hour","20","20"
"Bulgaria","Base hour","3","3"
"Canada: British Columbia","Peak (MW)","7604","7343"
"Canada: British Columbia","Base (MW)","5642","5675"
"Canada: British Columbia","Peak hour","9","12"
"Canada: British Columbia","Base hour","4","4"
"Canada: Ontario","Peak (MW)","16500","14760"
"Canada: Ontario","Base (MW)","12447","11520"
"Canada: Ontario","Peak hour","20","20"
"Canada: Ontario","Base hour","3","3"
"Chile","Peak (MW)","9309","9661"
"Chile","Base (MW)","7429","7749"
"Chile","Peak hour","12","20"
"Chile","Base hour","5","5"
"Croatia","Peak (MW)","2322","2077"
"Croatia","Base (MW)","1363","1264"
"Croatia","Peak hour","20","20"
"Croatia","Base hour","3","3"
"Czech Republic","Peak (MW)","8671","7891"
"Czech Republic","Base (MW)","6347","5769"
"Czech Republic","Peak hour","9","12"
"Czech Republic","Base hour","3","3"
"Denmark","Peak (MW)","4537","4476"
"Denmark","Base (MW)","2832","2990"
"Denmark","Peak hour","10","10"
"Denmark","Base hour","2","2"
"Estonia","Peak (MW)","1138","1067"
"Estonia","Base (MW)","746","746"
"Estonia","Peak hour","9","9"
"Estonia","Base hour","3","3"
"Finland","Peak (MW)","10384","9780"
"Finland","Base (MW)","8667","8443"
"Finland","Peak hour","9","9"
"Finland","Base hour","3","3"
"France","Peak (MW)","60171","49863"
"France","Base (MW)","44813","37546"
"France","Peak hour","9","12"
"France","Base hour","4","4"
"Germany","Peak (MW)","67311","60660"
"Germany","Base (MW)","43730","40239"
"Germany","Peak hour","11","12"
"Germany","Base hour","2","2"
"Greece","Peak (MW)","6270","5897"
"Greece","Base (MW)","4082","3591"
"Greece","Peak hour","20","20"
"Greece","Base hour","4","4"
"Hungary","Peak (MW)","5428","5043"
"Hungary","Base (MW)","3832","3672"
"Hungary","Peak hour","20","20"
"Hungary","Base hour","3","3"
"Ireland","Peak (MW)","3851","3653"
"Ireland","Base (MW)","2452","2357"
"Ireland","Peak hour","17","18"
"Ireland","Base hour","4","4"
"Italy","Peak (MW)","39524","31649"
"Italy","Base (MW)","22962","19057"
"Italy","Peak hour","9","20"
"Italy","Base hour","3","3"
"Japan","Peak (MW)","35032","33848"
"Japan","Base (MW)","24242","24049"
"Japan","Peak hour","18","18"
"Japan","Base hour","2","2"
"Latvia","Peak (MW)","1021","964"
"Latvia","Base (MW)","596","594"
"Latvia","Peak hour","9","10"
"Latvia","Base hour","3","3"
"Lithuania","Peak (MW)","1583","1474"
"Lithuania","Base (MW)","971","962"
"Lithuania","Peak hour","9","11"
"Lithuania","Base hour","3","3"
"Mexico","Peak (MW)","38693","36403"
"Mexico","Base (MW)","30369","28931"
"Mexico","Peak hour","16","21"
"Mexico","Base hour","4","5"
"Netherlands","Peak (MW)","14900","12993"
"Netherlands","Base (MW)","9969","9953"
"Netherlands","Peak hour","9","20"
"Netherlands","Base hour","3","3"
"New Zealand","Peak (MW)","5410","4984"
"New Zealand","Base (MW)","3186","2886"
"New Zealand","Peak hour","18","18"
"New Zealand","Base hour","3","3"
"Norway","Peak (MW)","17539","16749"
"Norway","Base (MW)","13787","13894"
"Norway","Peak hour","8","8"
"Norway","Base hour","2","2"
"Poland","Peak (MW)","22092","20027"
"Poland","Base (MW)","15356","14348"
"Poland","Peak hour","20","20"
"Poland","Base hour","2","3"
"Portugal","Peak (MW)","6742","6063"
"Portugal","Base (MW)","4460","4003"
"Portugal","Peak hour","20","20"
"Portugal","Base hour","4","4"
"Romania","Peak (MW)","7652","6739"
"Romania","Base (MW)","5523","4942"
"Romania","Peak hour","21","20"
"Romania","Base hour","3","3"
"Russia","Peak (MW)","125834","120539"
"Russia","Base (MW)","108069","106350"
"Russia","Peak hour","10","13"
"Russia","Base hour","2","3"
"Slovakia","Peak (MW)","3701","3288"
"Slovakia","Base (MW)","2767","2457"
"Slovakia","Peak hour","9","11"
"Slovakia","Base hour","2","3"
"Slovenia","Peak (MW)","1754","1533"
"Slovenia","Base (MW)","1137","1037"
"Slovenia","Peak hour","20","20"
"Slovenia","Base hour","3","3"
"Spain","Peak (MW)","32518","27498"
"Spain","Base (MW)","22319","18576"
"Spain","Peak hour","12","13"
"Spain","Base hour","4","4"
"Sweden","Peak (MW)","18370","17243"
"Sweden","Base (MW)","13905","13551"
"Sweden","Peak hour","8","8"
"Sweden","Base hour","2","2"
"Ukraine","Peak (MW)","18896","17430"
"Ukraine","Base (MW)","14080","12855"
"Ukraine","Peak hour","20","21"
"Ukraine","Base hour","3","4"
"United Kingdom","Peak (MW)","43738","36303"
"United Kingdom","Base (MW)","26808","21922"
"United Kingdom","Peak hour","12","18"
"United Kingdom","Base hour","4","4"
"US: California","Peak (MW)","33897","31413"
"US: California","Base (MW)","23825","22564"
"US: California","Peak hour","21","21"
"US: California","Base hour","4","4"
"US: Carolinas","Peak (MW)","25524","23098"
"US: Carolinas","Base (MW)","17275","16358"
"US: Carolinas","Peak hour","18","18"
"US: Carolinas","Base hour","4","4"
"US: Central","Peak (MW)","28958","28095"
"US: Central","Base (MW)","22587","22403"
"US: Central","Peak hour","17","14"
"US: Central","Base hour","4","4"
"US: Florida","Peak (MW)","33520","34686"
"US: Florida","Base (MW)","17043","18539"
"US: Florida","Peak hour","17","18"
"US: Florida","Base hour","4","5"
"US: Mid-Atlantic","Peak (MW)","90083","80675"
"US: Mid-Atlantic","Base (MW)","69988","66175"
"US: Mid-Atlantic","Peak hour","20","12"
"US: Mid-Atlantic","Base hour","4","4"
"US: Midwest","Peak (MW)","80107","71263"
"US: Midwest","Base (MW)","62735","58517"
"US: Midwest","Peak hour","16","14"
"US: Midwest","Base hour","4","5"
"US: New England","Peak (MW)","14319","13207"
"US: New England","Base (MW)","10438","9798"
"US: New England","Peak hour","20","20"
"US: New England","Base hour","3","3"
"US: New York","Peak (MW)","18102","16127"
"US: New York","Base (MW)","13039","12483"
"US: New York","Peak hour","21","21"
"US: New York","Base hour","4","4"
"US: Northwest","Peak (MW)","39793","38948"
"US: Northwest","Base (MW)","30271","30654"
"US: Northwest","Peak hour","10","10"
"US: Northwest","Base hour","4","4"
"US: Southeast","Peak (MW)","27350","24602"
"US: Southeast","Base (MW)","19354","18225"
"US: Southeast","Peak hour","17","16"
"US: Southeast","Base hour","3","3"
"US: Southwest","Peak (MW)","12830","12751"
"US: Southwest","Base (MW)","8648","8767"
"US: Southwest","Peak hour","20","20"
"US: Southwest","Base hour","4","4"
"US: Tennessee","Peak (MW)","18231","16067"
"US: Tennessee","Base (MW)","12958","12327"
"US: Tennessee","Peak hour","17","16"
"US: Tennessee","Base hour","3","3"
"US: Texas","Peak (MW)","43268","45045"
"US: Texas","Base (MW)","28752","30621"
"US: Texas","Peak hour","18","18"
"US: Texas","Base hour","4","4"
